ds,y
30-08-2018,1267.8417
31-08-2018,1282.6234
03-09-2018,1264.1586
04-09-2018,1241.1266
05-09-2018,1255.2699
06-09-2018,1293.5256
07-09-2018,1290.0880
10-09-2018,1256.0066
11-09-2018,1222.4652
12-09-2018,1248.8857
14-09-2018,1305.8521
17-09-2018,1340.3754
18-09-2018,1355.2063
19-09-2018,1366.3540
21-09-2018,1363.2111
24-09-2018,1337.4780
25-09-2018,1363.6530
26-09-2018,1360.6573
27-09-2018,1341.5541
28-09-2018,1287.5344
01-10-2018,1296.0792
03-10-2018,1285.8156
04-10-2018,1261.0156
05-10-2018,1258.8058
08-10-2018,1254.6805
09-10-2018,1225.8047
10-10-2018,1274.6188
11-10-2018,1228.6528
12-10-2018,1259.4442
15-10-2018,1276.5831
16-10-2018,1284.2931
17-10-2018,1278.0073
19-10-2018,1262.3416
22-10-2018,1269.0205
23-10-2018,1227.4252
24-10-2018,1218.8802
25-10-2018,1230.6664
26-10-2018,1233.4165
29-10-2018,1414.4807
30-10-2018,1459.2678
31-10-2018,1458.0402
01-11-2018,1478.7150
02-11-2018,1472.5272
05-11-2018,1440.3118
06-11-2018,1451.4595
07-11-2018,1470.8084
09-11-2018,1521.3413
12-11-2018,1484.8044
13-11-2018,1503.3184
14-11-2018,1477.0452
15-11-2018,1503.5149
16-11-2018,1530.9175
19-11-2018,1534.4043
20-11-2018,1506.9525
21-11-2018,1511.1758
22-11-2018,1502.0416
26-11-2018,1479.2061
27-11-2018,1496.0012
28-11-2018,1453.7185
29-11-2018,1430.5884
30-11-2018,1413.6948
03-12-2018,1430.7848
04-12-2018,1466.4868
05-12-2018,1453.9641
06-12-2018,1433.3876
07-12-2018,1465.2101
10-12-2018,1446.4014
11-12-2018,1451.7051
12-12-2018,1501.6487
13-12-2018,1494.8717
14-12-2018,1464.8171
17-12-2018,1456.6650
18-12-2018,1469.7280
19-12-2018,1489.1260
20-12-2018,1485.6392
21-12-2018,1448.5131
24-12-2018,1421.3558
26-12-2018,1429.8517
27-12-2018,1444.9281
28-12-2018,1441.0485
31-12-2018,1456.2231
01-01-2019,1449.1514
02-01-2019,1444.6825
03-01-2019,1412.2708
04-01-2019,1434.4679
07-01-2019,1459.5134
08-01-2019,1432.8473
09-01-2019,1446.9906
10-01-2019,1493.3492
11-01-2019,1478.3220
14-01-2019,1503.1710
15-01-2019,1495.0681
16-01-2019,1492.7109
17-01-2019,1478.5184
18-01-2019,1482.2507
21-01-2019,1470.5137
22-01-2019,1476.8488
23-01-2019,1476.5050
24-01-2019,1466.6342
25-01-2019,1468.6968
28-01-2019,1447.1870
29-01-2019,1477.9783
30-01-2019,1476.3577
31-01-2019,1479.3533
